timestamp,task_type,pid,arrival_time,completion_time,response_time,scheduler_used,action_taken,system_cpu_load,memory_available
12:41:05.706549,cpu,29220,1775459434.4707558,48.102617263793945,48.10285568237305,DDQN,IDLE,81.5,1.7073707580566406
12:41:06.016245,cpu,29220,1775459434.6891422,41.216373443603516,41.21685028076172,DDQN,IDLE,78.6,1.6626968383789062
12:41:06.326029,memory,29220,1775459435.0163023,87.93067932128906,87.93091773986816,DDQN,IDLE,82.9,1.6567344665527344
12:41:06.639766,memory,29220,1775459435.391137,88.4852409362793,88.4854793548584,DDQN,IDLE,83.3,1.7248344421386719
12:41:06.953572,cpu,29220,1775459435.5453389,69.39053535461426,69.39101219177246,DDQN,IDLE,71.1,1.7813682556152344
12:41:07.266137,memory,29220,1775459436.0288653,111.59157752990723,111.59205436706543,DDQN,BELOW_NORMAL,69.8,1.7811927795410156
12:41:07.585371,cpu,29220,1775459436.481253,57.48295783996582,57.48343467712402,DDQN,BELOW_NORMAL,72.0,1.8722419738769531
12:41:07.897018,cpu,29220,1775459436.6826077,66.00499153137207,66.00499153137207,DDQN,NORMAL,84.8,1.8402595520019531
12:41:08.210745,cpu,29220,1775459436.90103,69.93794441223145,69.93818283081055,DDQN,NORMAL,77.4,1.7343406677246094
12:41:08.524322,io,29220,1775459437.0726643,108.20770263671875,108.21175575256348,DDQN,NORMAL,71.4,1.7547569274902344
12:41:08.836302,cpu,29220,1775459437.5130672,61.84887886047363,61.84887886047363,DDQN,NORMAL,68.4,1.7607955932617188
