scheduler,load,avg_completion,std_completion,throughput,avg_response,std_response,total_requests
FCFS,light,458.96,240.0,2.179,458.97,240.0,721
FCFS,medium,4478.74,3416.45,0.223,4478.74,3416.45,1110
FCFS,heavy,5412.72,3829.82,0.185,5412.72,3829.82,11255
SJF,light,3483.76,6320.71,0.287,3483.76,6320.71,835
SJF,medium,3166.56,3042.67,0.316,3166.56,3042.68,985
SJF,heavy,5783.39,4292.5,0.173,5783.39,4292.5,10171
RR,light,2062.87,3752.76,0.485,2062.88,3752.76,787
RR,medium,3313.84,3263.57,0.302,3313.85,3263.56,879
RR,heavy,5382.39,3915.89,0.186,5382.39,3915.89,11012
DDQN,light,107.37,64.12,9.314,107.37,64.12,16531
DDQN,medium,227.51,115.64,4.395,227.52,115.64,4837
DDQN,heavy,72.41,38.13,13.81,72.41,38.13,33447
